"Go to Payment Services","Aller aux Services de paiement"
"Note: More configuration options are available in Payment Service\'s %1.","Remarque : d'autres options de configuration sont disponibles dans le %1 du service de paiement."
"Payment Services","Services de paiement"
"Payment Services is your turnkey integrated solution for providing secure payment processing, robust reporting, and optimized online order payments. Payment Services can be configured in the settings page under <b>Sales > Payment Services</b>.","Payment Services est votre solution intégrée clé en main pour fournir un traitement des paiements sécurisé, un reporting robuste et des paiements de commande en ligne optimisés. Les services de paiement peuvent être configurés dans la page des paramètres sous <b>Ventes &gt; Services de paiement</b>."
"Settings","Paramètres"
